ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,log1p_MntWines,log1p_MntFruits,log1p_MntMeatProducts,log1p_MntFishProducts,log1p_MntSweetProducts,log1p_MntGoldProds,Age,TenureMonths,Total_Spend,Total_Purchases,Share_Web,Share_Catalog,Share_Store,Web_Conversion,Campaign_Accepted_Any,Campaign_Accepted_Count
1826,1970,Graduation,Divorced,84835.0,0,0,2014-06-16,0,189,81,379,111.0,81,126.5,1,4,4,6,1,0,0,0,0,0,1,0,Spain,5.247024072160486,4.406719247264253,5.940171252720432,4.718498871295094,4.406719247264253,4.848116364598481,55,138,967.5,15,0.26666666666666666,0.26666666666666666,0.4,4.0,1,1
1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,464,5,64,7.0,0,37.0,1,7,3,7,5,0,0,0,0,1,1,0,Canada,6.142037405587356,1.791759469228055,4.174387269895637,2.0794415416798357,0.0,3.6375861597263857,64,138,577.0,18,0.3888888888888889,0.16666666666666666,0.3888888888888889,1.4,1,2
10476,1958,Graduation,Married,67267.0,0,1,2014-05-13,0,134,11,59,15.0,2,30.0,1,3,2,5,2,0,0,0,0,0,0,0,USA,4.90527477843843,2.4849066497880004,4.0943445622221,2.772588722239781,1.0986122886681098,3.4339872044851463,67,139,251.0,11,0.2727272727272727,0.18181818181818182,0.45454545454545453,1.5,0,0
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0.0,0,0.0,1,1,0,2,7,0,0,0,0,0,0,0,Australia,2.3978952727983707,0.0,0.6931471805599453,0.0,0.0,0.0,58,139,11.0,4,0.25,0.0,0.5,0.14285714285714285,0,0
5371,1989,Graduation,Single,21474.0,1,0,2014-04-08,0,6,16,24,11.0,0,34.0,2,3,1,2,7,1,0,0,0,0,1,0,Spain,1.9459101490553132,2.833213344056216,3.2188758248682006,2.4849066497880004,0.0,3.5553480614894135,36,141,91.0,8,0.375,0.125,0.25,0.42857142857142855,1,2
7348,1958,PhD,Single,71691.0,0,0,2014-03-17,0,336,81,411,120.5,32,43.0,1,4,7,5,2,0,0,0,0,0,1,0,Spain,5.820082930352362,4.406719247264253,6.021023349349527,4.799914262780603,3.4965075614664802,3.784189633918261,67,141,1023.5,17,0.23529411764705882,0.4117647058823529,0.29411764705882354,2.0,1,1
4073,1954,2n Cycle,Married,63564.0,0,0,2014-01-29,0,769,80,252,15.0,34,65.0,1,10,10,7,6,1,0,0,0,0,1,0,Germany,6.646390514847729,4.394449154672439,5.53338948872752,2.772588722239781,3.5553480614894135,4.189654742026425,71,143,1215.0,28,0.35714285714285715,0.35714285714285715,0.25,1.6666666666666667,1,2
1991,1967,Graduation,Together,44931.0,0,1,2014-01-18,0,78,0,11,0.0,0,7.0,1,2,1,3,5,0,0,0,0,0,0,0,Spain,4.3694478524670215,0.0,2.4849066497880004,0.0,0.0,2.0794415416798357,58,143,96.0,7,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.4,0,0
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21.0,32,5.0,3,6,2,9,4,0,0,0,0,0,0,0,USA,5.953243334287785,0.0,4.634728988229636,3.091042453358316,3.4965075614664802,1.791759469228055,71,143,544.0,20,0.3,0.1,0.45,1.5,0,0
9477,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21.0,32,5.0,3,6,2,9,4,0,0,0,0,0,0,0,India,5.953243334287785,0.0,4.634728988229636,3.091042453358316,3.4965075614664802,1.791759469228055,71,143,544.0,20,0.3,0.1,0.45,1.5,0,0
